ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
m16q2,MCI,16,2,0.0760741521483042,0.2020584041168082,0.5240423797881011,0.5004602638846272,2.1979348669319685,2.134408217044011,9289.999999999998,14,2.1807639805727472,150.22948809543269,33,20,16.746999999999996
m16q3,MCI,16,3,0.1045448403225079,0.1754425476329895,0.4976303317535545,0.451604621309371,1.7081120501053155,1.7130616756159525,8681.0,22,3.3471056181192185,178.69786874596073,46,30,18.578999999999997
m16q4,MCI,16,4,0.0722628235776244,0.188853220408442,0.5477315689981096,0.5193490054249548,2.3374057413452585,2.3059494955957827,16865.0,29,4.035137156349259,154.52266876485942,58,34,30.311999999999987
m16q5,MCI,16,5,0.105231866825208,0.3228299643281807,0.6214689265536724,0.5524861878453039,2.0944372246385186,2.117762576494956,3179.0,9,4.333394501213254,152.14538881070698,16,5,7.088999999999999
m17q1,MCI,17,1,0.0952598689224203,0.2318244170096021,0.5008,0.4806048652202498,1.8107984568613755,1.8813798027243849,5503.0,12,3.7279093333083475,157.6082886566312,21,18,10.884
m17q2,MCI,17,2,0.0758377425044091,0.2653061224489796,0.6079734219269103,0.5346628679962013,1.1561787304889202,2.116507875898413,2568.000000000001,7,5.469816868426553,217.31624952523217,24,18,7.946
m17q3,MCI,17,3,0.0975805159429578,0.1882711103989745,0.6584564860426929,0.4808510638297872,2.027113502130632,1.9689749113361863,5257.0,12,3.599301809228157,181.21889663240853,22,12,10.267999999999999
m17q4,MCI,17,4,0.0915712799167533,0.2295063013065094,0.4842171717171717,0.517632241813602,1.97917955804909,2.021873189917811,10147.0,25,3.4783136674260176,162.3194617018288,55,30,24.081999999999987
m17q5,MCI,17,5,0.0944,0.3376,0.288135593220339,0.4123222748815165,0.5916727785823275,1.1977249389350344,2077.0,9,3.9837083284938446,120.05210656139064,16,19,6.478
m18q1,MCI,18,1,0.1226117705106767,0.2489789205339765,0.7545271629778671,0.723219200704613,2.964674516779068,3.001326288938807,18342.0,16,4.722901374414923,129.13005454982527,19,26,23.843999999999998
m18q2,MCI,18,2,0.1131115090960505,0.2275426524648883,0.7320833333333333,0.7394366197183099,3.411800507454137,2.8872526188114085,18584.0,21,0.44212270078247395,95.36492332825622,32,23,25.914999999999992
m18q3,MCI,18,3,0.156358024691358,0.2326543209876543,0.8669561784445322,0.8137436985937915,3.448891654436738,3.1818256544682293,15781.0,14,1.9289880477930004,102.59194674158609,31,14,21.767999999999994
m18q4,MCI,18,4,0.3502708907254361,0.4742561983471074,0.8401997666767161,0.8877852323003494,3.2165945531285542,3.7785836926790473,66131.0,53,2.241036637767621,103.78091112120252,64,33,81.52899999999987
m18q5,MCI,18,5,0.0741181133571145,0.2500990883868411,0.4759358288770053,0.5023771790808241,1.4668662908570156,1.7338894499603736,4890.0,16,3.860359795853013,123.49065237237158,22,13,11.000999999999998
m19q1,MCI,19,1,0.0751898248403278,0.1978838299388723,0.4961720743711265,0.5630973819088516,2.0312925231163605,2.213253947696077,11978.0,28,3.0271134035827365,144.66270462857446,52,43,25.187999999999995
m19q2,MCI,19,2,0.0953502180545033,0.2138572101308327,0.5383293966072579,0.5505983724269986,2.0514576505274182,2.253813976593239,14667.0,28,2.6060125696055585,134.82653009862676,57,30,27.380999999999993
m19q3,MCI,19,3,0.0973774563518153,0.1883994448097012,0.6114028507126782,0.5820085304381544,2.4643003887211856,2.71125235492311,7210.0,17,1.4308274018707179,157.55613072708184,34,27,14.178999999999998
m19q4,MCI,19,4,0.2538049348426826,0.3770707963360406,0.7955895763672037,0.8576503850303188,3.1500618996265524,3.5316083723518883,52322.00000000001,47,2.764213049391021,108.06017214737876,48,33,66.49799999999992
m19q5,MCI,19,5,0.0663831360946745,0.1887943786982248,0.5153203342618384,0.4613124387855044,1.950233536421854,1.8737654344024448,5138.0,16,3.1328527943242515,154.50085014886264,31,17,13.690999999999995
m2q1,MCI,2,1,0.1316451406899607,0.2709145173272165,0.9023859023859024,0.9222591042478472,3.616767651017344,3.698994191275271,30319.0,16,0.0,67.4955154920736,17,19,33.252999999999986
m2q2,MCI,2,2,0.0605237006261898,0.190862178374301,0.7171117705242335,0.7862116554795809,2.9234276431664075,2.9615717254838843,25424.0,31,1.9427185358822538,105.83213839995568,42,37,35.20599999999999
m2q3,MCI,2,3,0.1045324447861933,0.2126959716348413,0.746628524724152,0.7565776260293231,2.5534912149658133,2.7912514257261454,13446.0,17,0.49924876227349274,103.3564303350149,24,18,18.334999999999994
m2q4,MCI,2,4,0.2019618382155334,0.353608647615635,0.7444370518222814,0.8449586218544165,2.9459345810326605,3.2885082530823024,31529.0,45,0.7631195513856648,120.99531530706624,62,31,45.106
m2q5,MCI,2,5,0.1158861340679522,0.3603673094582185,0.5448494453248811,0.8130669656508002,2.037436441369203,2.821114329078364,14296.0,18,2.120360635624497,102.0877376130389,27,40,20.414999999999996
m20q1,MCI,20,1,0.1067348429510591,0.3041344046749452,0.7443197372022995,0.7755788260159477,2.745538733118251,2.678012988004418,16753.0,20,2.7987726502861756,121.33497896535644,32,30,23.964999999999996
m20q2,MCI,20,2,0.0716225539848211,0.2015090794321868,0.5388399262143881,0.5506665695344941,2.649846524851144,2.530802097610888,18825.0,30,2.6671694591137287,150.6536275256702,71,58,35.446999999999996
m20q3,MCI,20,3,0.0743900019837333,0.1870660583217615,0.4026666666666667,0.35949098621421,0.6052912052261445,1.4715188880134704,2811.000000000001,12,1.9567152388238602,204.21598011734096,31,15,8.921999999999999
m20q4,MCI,20,4,0.0566344184732716,0.1945837158392769,0.5829177057356608,0.5926329159862094,2.216383420007149,2.4678632612982776,14669.000000000002,32,3.8042131732274522,149.21027894551764,63,46,30.55999999999999
m20q5,MCI,20,5,0.1311519740400216,0.2474310438074635,0.6061855670103092,0.5868852459016394,2.38978681947761,2.586824541003909,6236.0,11,1.5349533255538548,107.9666384135351,24,13,12.345999999999998
m3q1,MCI,3,1,0.0977946090443305,0.2456003564268211,0.6321184510250569,0.7346938775510204,2.4014058159924923,2.782441770997796,10273.0,22,2.6176336045126725,135.26111728921651,23,36,16.63
m3q2,MCI,3,2,0.056940597106802,0.1898361889128278,0.4726726726726726,0.6220500810664745,1.4218993728661489,2.111041629491285,10634.000000000004,28,3.218179975156097,140.16813652997874,44,34,21.022
m3q3,MCI,3,3,0.0740625,0.16375,0.5232067510548524,0.4751908396946565,1.6664876243446751,1.6873918825999077,4402.0,12,3.2677302955599923,159.7216096209054,22,18,9.902
m3q4,MCI,3,4,0.2579224526177519,0.4365324169637831,0.7365573062319533,0.8582367243857552,2.6662771784108426,3.5383444457143467,47917.0,67,2.4670838475310193,111.91449311122236,94,60,72.85399999999986
m3q5,MCI,3,5,0.1038367520459134,0.270910830056329,0.4738996929375639,0.6963515103962338,2.083536123192144,2.44045100164325,8066.999999999999,12,2.327614586668846,96.47317802145731,19,25,12.956999999999997
m4q1,MCI,4,1,0.1364265927977839,0.2915512465373961,0.6395939086294417,0.6983372921615202,2.156043232712825,2.6274452434335096,5868.0,11,3.2794752100528792,131.26114580232573,13,13,9.784
m4q2,MCI,4,2,0.0653146220009053,0.1896785875961973,0.5392292764069864,0.7162768496420048,2.246255463186708,2.738026660599505,19679.0,28,3.4446569025994607,111.79858502202356,35,46,29.33799999999999
m4q3,MCI,4,3,0.1206597222222222,0.2039930555555555,0.4244604316546763,0.451063829787234,2.072905595320056,2.5346331908554403,2569.0,7,2.2160137462196605,240.745430820116,14,8,5.745
m4q4,MCI,4,4,0.2714529337905961,0.4802196360637919,0.7158439765274421,0.8346146341463415,2.635830419960026,3.215578708216587,19923.0,24,3.281131471842386,137.14730627612897,40,20,29.336999999999996
m4q5,MCI,4,5,0.0964370974280437,0.2792216566821314,0.5301261092947221,0.6896273592514922,1.7157050418504234,2.358423901397243,9414.0,22,1.9109907739370215,119.7211190348029,39,32,18.822999999999997
m5q1,MCI,5,1,0.0997728395061728,0.2168296296296296,0.5351415561274995,0.6884394643345176,2.202700663279362,2.396462132048909,16894.0,30,2.6048763813721973,111.84329815273844,44,48,28.041999999999994
m5q2,MCI,5,2,0.068587411202693,0.1925942427167644,0.5416817033561891,0.5645803881249197,2.0023584095659213,2.126168356403329,11000.0,29,3.8972135635839154,158.9771332881143,58,44,24.935999999999996
m5q3,MCI,5,3,0.116694214876033,0.2231404958677686,0.5524079320113314,0.522962962962963,1.879202529172905,2.5675538296406555,2077.0,5,6.672888905072514,216.30153284478905,21,14,6.845
m5q4,MCI,5,4,0.2273881373569198,0.38210197710718,0.7392458356214534,0.7704248366013072,2.7267246594279326,3.059953584205588,24569.0,35,2.564158915411918,119.90657937438688,52,33,37.648999999999994
